id,descripcion,hashtags,categoria,categoria_generadora,categoria_secundaria,es_ambiguo,tipo_post,nivel_ruido,etiqueta_ruidosa,entidades
16,"visita al veterinario sin drama en Lisboa; habia correa, algo de prisa y Toby saliendo en la conversacion. entre risas y cero cobertura, bastante real todo",#perros,animales,animales,,False,long,bajo,False,veterinario | Lisboa | Toby
17,hoy tocaba restaurante pequeño encontrado de casualidad en Ciudad con tomate; con gente buena y no pido mas ⚽,,cocina,cocina,,False,medium,bajo,False,
18,festival con demasiada gente en Barcelona con playlist; tambien entreno corto pero intenso,#festival #spotify #partido #cafe,musica,musica,deporte,True,short,medio,False,Spotify
19,me desperte pensando en esto: caminata eterna por el centro; luego sin planear demasiado y acabamos hablando de Berlin,#Chill #Wanderlust,viajes,viajes,,False,medium,bajo,False,Berlin
20,"Mercadona aparecio en el plan: postre demasiado dulce, despues de una semana eterna, pan incluido",#Top #Receta #Casero,cocina,cocina,,False,medium,bajo,False,Mercadona
21,mando en malaga. que locura ✨...,,videojuegos,videojuegos,,False,micro,alto,False,
22,que fantasía taper para mañana si sobrevive en sevilla con arroz,#tapas #receta,cocina,cocina,,False,short,medio,False,
23,cafe en Roma. random pero necesario 🍜,#fifa,videojuegos,videojuegos,,False,micro,medio,False,FIFA | Roma
24,"mini update: jugando al Fortnite escuchando Spotify hasta que se fue el lag, mientras cae la tarde asi si",#gg,videojuegos,videojuegos,musica,True,medium,bajo,False,Fortnite | Spotify
25,xd camara en Valencia. top,#Drive #Random,coches,coches,,False,micro,alto,False,
26,,,coches,coches,,False,medium,alto,False,
27,nadie me preparo para tarde de playa con Spotify sonando en un altavoz pequeño asi si,#spotify,playa,playa,musica,True,micro,medio,False,Spotify
28,"literalmente tren a tenerife, auriculares puestos y playlist eterna, entre risas y cero cobertura ns q decir jaja 🐶",#Temazo #Friends,musica,musica,viajes,True,medium,bajo,False,Tenerife
29,"aitana aparecio en el plan: tema en bucle desde por la mañana, sin filtros y con prisa, guitarra incluido!!!",#musica #random #festival,musica,musica,,False,medium,bajo,False,Aitana
30,no se como explicar esto pero hotel que acepta mascotas y paseo eterno por Valencia no pido mas,,viajes,viajes,animales,True,short,bajo,False,
31,"visita al veterinario sin drama cerca de Amsterdam. entre risas y cero cobertura, Kiwoko de fondo y literalmente obsesionado ☀️",#PetFriendly #Setup,animales,animales,,False,medium,medio,False,veterinario | Amsterdam | Kiwoko
32,"mini update: proteina, cafe y receta jajaja",#Padel #Cocina,cocina,cocina,deporte,True,medium,alto,False,
33,"domingo raro y despues del entreno tocaba lavar el coche, porque a veces sale bien sin pensarlo random pero necesario",#Vibes #CarLife,coches,coches,deporte,True,medium,bajo,False,
34,micro en Sevilla. asi si 🎧,,musica,musica,,False,micro,medio,False,
35,playlist en Paris. ns q decir JAJA,#GTA,videojuegos,videojuegos,,False,micro,bajo,False,Paris | GTA
36,"me desperte pensando en esto: hotel que acepta mascotas y paseo eterno por gran canaria, con una playlist random de fondo xd 🔥",#RoadTrip #Turismo #Oferta #Update,viajes,viajes,animales,True,medium,medio,False,
37,bro escapada express con maleta pequena,#Lunes #Viajes,viajes,viajes,,False,micro,medio,False,
38,billete en Ceuta. asi si 🔥,#destino,viajes,viajes,,False,micro,bajo,False,
39,modo chill tomate en JAJA,#Sabor,cocina,cocina,deporte,True,micro,alto,False,
40,JAJA domingo raro y partido del Dceathlon y cena improvisada en casa asi si 💀,#Fitness #Cena,deporte,deporte,cocina,True,micro,medio,False,
41,"adidas aparecio en el plan: paseo largo para despejar, con una playlist random de fondo, auriculares incluido 🎧",#chill #running,deporte,deporte,,False,medium,bajo,False,Adidas
42,"despues de mil vueltas, peaje, lluvia y vistas brutales desde el coche camino a Tokio, entre risas y no se",,viajes,viajes,coches,True,medium,medio,False,Tokio
43,domingo raro y lavado rapido antes de salir en Ceuta con llaves; con el movil sin bateria y asi si,#vibes#roadtrip,coches,coches,,False,medium,bajo,False,
44,literalmente calas pequeñas sin cobertura mientras cae la tarde jajaja,#Verano,playa,playa,,False,short,medio,False,
45,vibe de hoy: partido sufrido hasta el ultimo minuto en Sevilla con balon; con una playlist random de fondo y god,,deporte,deporte,,False,medium,bajo,False,
46,literalmente pala nueva para el padel con ganas de repetir,#running #workout,deporte,deporte,,False,short,medio,False,
47,JAJA si esto no es felicidad entonces nada chiringuito lleno pero la musica estaba increible asi si!!!,,playa,playa,musica,True,micro,medio,False,
48,"literal tacos y tomate, me renta demasiado 🔥",#sabor,cocina,cocina,,False,micro,medio,False,tacos
49,"no puedo mas entreno corto pero intenso, bro esto esta increible ✨",#Gym#Chill,deporte,deporte,,False,micro,medio,False,
50,"setup medio ordenado para variar cerca de barcelona. en modo desconectar, xbox de fondo y random pero necesario...",#GTA #Twitch #Life,videojuegos,videojuegos,,False,medium,bajo,False,Twitch | Xbox | GTA
51,"tarifa aparecio en el plan: atardecer en el paseo maritimo, en plan tranquilo, mochila incluido xd",#Mar,playa,playa,,False,medium,medio,False,Tarifa
52,estoy living pachanga despues de clase en Roma con reloj xd,#padel#trabajo,deporte,deporte,,False,short,bajo,False,Roma
53,"literal despues de mil vueltas, paseo por calas de Berlin despues de perder el bus del hotel random pero necesario",#Aventura,viajes,viajes,playa,True,short,bajo,False,Berlin
54,"me desperte pensando en esto: noche de mando, Discord y tema nuevo de Aitana. No encaja perfecto en una sola categoria, porque mezcla musica, videojuegos y un poco de vida real. muy de hoy xd",#setup,musica,musica,videojuegos,True,long,medio,False,Aitana
55,"playlist para conducir sin hablar cerca de lisboa. con ganas de repetir, rosalia de fondo y muy de hoy",#Festival,musica,musica,,False,medium,alto,False,Rosalia | Lisboa
56,,#wanderlust #gymbro,viajes,viajes,,False,medium,bajo,False,
57,"literalmente interior limpo por primera vez en meses. Entre playlist, mensajes sin responder y BMW, el plan quedo raro pero ns q decir JAJA 🎮",#Cars #Cafe,coches,coches,,False,long,alto,False,BMW
58,nadie me preparo para partido del nike y cena improvisada en casa muy de hoy me renta 🎮,#Foodie #Running #Futbol,deporte,deporte,cocina,True,short,bajo,False,Nike
59,"no se como explicar esto pero curvas suaves con musica de fondo. Entre peaje, mensajes sin responder y Mercedes, el plan quedo raro pero asi si",,coches,coches,,False,long,bajo,False,Mercedes
60,hotel sencillo pero bien ubicado en Guipúzcoa con auriculares random,#planazo,viajes,viajes,,False,short,bajo,False,
61,"domingo raro y peaje, lluvia y vistas brutales desde el coche camino a Roma. No encaja perfecto en una sola categoria, porque mezcla coches, viajes y un poco de vida real. top",#turismo,coches,coches,viajes,True,long,bajo,False,Roma
62,"veterinario y premio, literalmente obsesionado",#perros#catlife,animales,animales,,False,micro,medio,False,veterinario
63,mini update: ruta pet friendly con parada para cafe; luego con ganas de repetir y acabamos hablando de Max 🐶,#Top#Adopta,animales,animales,,False,medium,bajo,False,Max
64,si esto no es felicidad entonces nada prueba de conduccion con lluvia en burgos con peaje; entre risas y cero cobertura y que locura,#garaje,coches,coches,,False,medium,medio,False,
65,"si esto no es felicidad entonces nada road trip en Tesla por Amsterdam con paradas random y playlist alta, sin filtros y con prisa bro esto esta increible",#CarLife #Viajes,coches,coches,viajes,True,medium,medio,False,Amsterdam | Tesla
66,modo chill domingo raro y playlist para conducir sin hablar; luego no se xd,#spotify,musica,musica,,False,medium,alto,False,Spotify
67,"plan improvisado: parque nuevo descubierto de casualidad, asi si que fantasía",#petfriendly#chill,animales,animales,,False,short,bajo,False,parque
68,si esto no es felicidad entonces nada atardecer cerca del mar con paseo largo y cero prisa asi si jajaja,,playa,playa,animales,True,micro,alto,False,
69,directo de noche con chat imposible cerca JAJA,#gta#planazo,videojuegos,videojuegos,,False,medium,alto,False,GTA
70,"random road trip sin ruta cerrada, literalmente obsesionado jajaja",#wanderlust #destino #gymbro,viajes,viajes,,False,micro,bajo,False,
71,"estoy living no se como explicar esto pero taper para mañana si sobrevive, muy JAJA",#Receta,cocina,cocina,,False,short,medio,False,
72,"sushi y tomate, bro esto esta increible; tambien vuelo temprano con cafe dudoso",#Wanderlust #Foodie,cocina,cocina,viajes,True,micro,alto,False,sushi
73,"hoy tocaba noche de mando, discord y tema nuevo de aitana, con una playlist raandom de fondo que locura",#Temazo #Gamer #Twitch #Urbano,musica,musica,videojuegos,True,medium,medio,False,Twitch | Aitana
74,"mini update: festival en Lisboa con maleta pequeña y cero sueño, con ganas de repetir muy de hoy",#Viajes #Random #Temazo #Turismo,viajes,viajes,musica,True,medium,bajo,False,Lisboa
75,"modo chill viaje en coche por la costa, gps perdido y cafe de gasolinera. no encaja perfecto en una sola categoria, porque mezcla coches, viajes y un poco de vida real. me renta demasiado 🐶!!!",#vibes #racing #roadtrip,coches,coches,viajes,True,long,alto,False,
76,"kiwoko y cama, me renta demasiado...",#mascotas,animales,animales,,False,micro,medio,False,Kiwoko
77,"plan improvisado: paseo por la playa con el perro y media mochila llena de arena. No encaja perfecto en una sola categoria, porque mezcla playa, animales y un poco de vida real. god",#Costa #Domingo #Mar,playa,playa,animales,True,long,medio,False,
78,mision secundaria mas interesante que la principal cerca JAJA,#PlayStation,videojuegos,videojuegos,,False,medium,medio,False,PlayStation
79,"xd despues de mil vueltas, atardecer en la costa y playlist de anuel en bucle, con el movil sin bateria top 🕹️",#random #costa,musica,musica,playa,True,medium,medio,False,Anuel
80,"literalmente viaje de finde para ver atardecer junto al mar en bilbao, con el movil sin bateria ns q decir jaja",#wanderlust,viajes,viajes,playa,True,medium,alto,False,
81,domingo raro y boss facil hasta que deja de serlo con ganas de repetir; tambien tema en bucle desde por la mañana,#FIFA #Temazo,videojuegos,videojuegos,musica,True,short,bajo,False,FIFA
82,hoy tocaba road trip en Mercedes por Malga con paradas random y playlist alta xd 🏁 xd,#SinFiltros #RoadTrip #FYP,viajes,viajes,coches,True,short,alto,False,Mercedes
83,plan improvisado: vacaciones con musica muy de hoy 🏁,#relax,playa,playa,viajes,True,micro,alto,False,
84,FIFA: mision secundaria mas interesante que la principal y no pido y bueno,#fifa #top,videojuegos,videojuegos,,False,short,alto,False,FIFA
85,"full domingo raro y baño rapido, toalla mojada y temazo de Spotify bro esto esta increible xd",#live,playa,playa,musica,True,short,medio,False,Spotify
86,que fantasía no se como explicar esto pero perdido por sevilla siguiendo una cancion de rosalia top,#Hoy,viajes,viajes,musica,True,short,bajo,False,Rosalia
87,masterchef: taper para mañana si sobrevive y que locura,,cocina,cocina,,False,short,medio,False,MasterChef
88,"amsterdam aparecio en el plan: road trip sin ruta cerrada, porque a veces sale bien sin pensarlo, mochila incluido",#Hoy,viajes,viajes,,False,medium,bajo,False,Amsterdam
89,"despues de mil vueltas, despues del gym cayo Mercadona porque el cuerpo lo pidio random pero necesario 🔥",#chill,cocina,cocina,deporte,True,short,bajo,False,Mercadona
90,"despues de mil vueltas, PayStation",#Twitch,videojuegos,videojuegos,,False,micro,bajo,False,Twitch
91,no se como explicar esto pero despues del gym cayo sushi porque el cuerpo lo pidio asi si modo chill,#Gym #Friends #Futbol,viajes,cocina,deporte,True,short,bajo,True,sushi
92,domigo raro y baño rapido mientras el perro vigilaba la toalla literalmente obsesionado,,animales,animales,playa,True,short,bajo,False,
93,mini update: salsa rara que al final funciona; luego sin planear demasiado y acabamos hablando de MasterChef; tambien comida sencilla despues del gimnasio xd 🎸,#Foodie,cocina,cocina,deporte,True,medium,bajo,False,MasterChef
94,"hotel sencillo pero bien ubicado, no pido mas; tambien JAJA",#Aventura #Sol #Costa,viajes,viajes,playa,True,micro,medio,False,
95,me desperte pensando en esto: ruta por Huelva buscando donde comer algo decente bro esto esta increible 🧳,#tapas #cena,viajes,viajes,cocina,True,short,bajo,False,
96,"plan improvisado: stream de FIFA con playlist de Bad Bunny y chat imposible, con gente buena modo chill jajaja",#pop #spotify #setup #twitch,videojuegos,videojuegos,musica,True,medium,medio,False,Bad Bunny | Spotify | Twitch | FIFA
97,Paris: escapada express con maleta pequeña y no pido mas,#Aventura #Life,viajes,viajes,,False,short,bajo,False,Paris
98,que fantasía Rosalia: playlist para conducir sin hablar y ns q decir JAJA,#temazo #pop #vibes,musica,musica,,False,short,medio,False,Rosalia
99,Roma: vuello temprano con cafe dudoso y asi si,,viajes,viajes,,False,short,medio,False,Roma
100,si esto no es felicidad entonces nada comida sencilla despues del gimnasio; luego en modo desconectar y acaamos hablando de Decathlon 🏋️,,deporte,deporte,,False,medium,bajo,False,Decathlon
101,"mini update: road trip en Porsche por Madrid con paradas random y playlist alta. No encaja perfecto en una sola categoria, porque mezcla coches, viajes y un poco de vida real. bro esto esta increible que fantasía jajaja",#garaje #vibes,coches,coches,viajes,True,long,bajo,False,Porsche | Madrid
102,domingo raro y directo de noche con chat imposible con ganas de repetir; tambien altavoz pequeño haciendo milagros 🌊,#Chill,videojuegos,videojuegos,musica,True,short,bajo,False,
103,"hoy tocaba gym, playlist intensa y camiseta del Decathlon literalmente obsesionado",#Festival#Temazo,musica,musica,deporte,True,short,bajo,False,Decathlon
104,"despues de mil vueltas, probando Mercadona en Roma despues de caminar sin rumbo, despues de una semana eterna que locura!!!",#Sabor #Viajes #Receta,viajes,viajes,cocina,True,medium,bajo,False,Mercadona | Roma
105,"domingo raro y atardecer en la costa y playlist de Spotify en bucle, sin planear demasiado ns q decir JAJA 😂",,playa,playa,musica,True,medium,bajo,False,Spotify
106,me desperte pensando en esto: series de carrera con poca fe con gente buena 🐱 xd,#Gym,deporte,deporte,,False,short,bajo,False,
107,"comida sencilla despes del gimnasio cerca de Sevilla. porque a veces sale bien sin pensarlo, Decathlon de fondo y ns q decir JAJA; tambien salsa rara que al final funciona",#FYP#Friends,deporte,deporte,cocina,True,medium,medio,False,Decathlon
108,random vibe de hoy: perro mirando la comida con demasiada fe; luego porque a veecs sale bien sin pensarlo y acabamos hablando de Luna 🔥,#PetFriendly,animales,animales,,False,medium,alto,False,Luna
109,nadie me preparo para ruta por toledo buscando donde comer algo decente top,#tapas #roadtrip,viajes,viajes,cocina,True,short,bajo,False,
110,"me desperte pensando en esto: paseo largo antes de volver a casa. Entre mochila, mensajes sin responder y Nala, el plan quedo raro pero ns q decir JAJA",#gatos,animales,animales,,False,long,bajo,False,Nala
111,BMW: interior limpio por primera vez en meses y me renta demasiado; tambien paseo largo para despejar estoy living 🍜,#Futbol #Workout #Drive #Ruta,coches,coches,deporte,True,short,bajo,False,BMW
112,"despues de mil vueltas, modo carrera mientras suena musica de fondo. Entre pizza, mensajes sin responder y Valorant, el plan quedo raro pero muy de hoy; tambien playlist para conducir sin hablar 🍣",,videojuegos,videojuegos,musica,True,long,medio,False,Valorant
113,"Spotify aparecio en el plan: tema en bucle desde por la mañana, entre risas y cero cobertura, altavoz incluido!!!",#Aesthetic #Musica,musica,musica,,False,medium,medio,False,Spotify
114,berlin: road trip sin ruta ceerrada y que locura,#destino,viajes,viajes,,False,short,medio,False,Berlin
115,foto borrosa pero momento perfecto en Valencia con coche 💀,#DogLife #CatLife,animales,animales,,False,short,bajo,False,
116,"nadie me preparo para proteina, cafe y receta random antes de salir a correr, entre risas y cero cobertura top 😂",#Foodie,cocina,cocina,deporte,True,medium,bajo,False,
117,"domingo raro y mercado local, cafe raro y plato de tacos que salvo el dia muy de hoy",#Vibes,viajes,viajes,cocina,True,short,medio,False,tacos
118,nadie me preparo para atardecer en el paseo maritimo; luego porque a veces sale bien sin pensarlo y acabamos hablando de Maspalomas,#Calas #Random #Atardecer,playa,playa,,False,medium,bajo,False,Maspalomas
119,"Rosalia y altavoz, no pido mas 🏋️",#Festival,musica,musica,,False,micro,bajo,False,Rosalia
120,literal vibe de hoy: dia de pierna y luego sofa en Roma con auriculares; entre risas y cero cobertura y top,#Random #Gym,deporte,deporte,,False,medium,bajo,False,Roma
121,JAJA vibe de hoy: tren perdido por mirar el movil; luego despues de una semana eterna y acabamos hablando de paaris xd,#roadtrip,viajes,viajes,,False,medium,medio,False,
122,no se como explicar esto pero despues del gym cayo paella porque el cuerpo lo pidio top!!!,#Workout,deporte,deporte,cocina,True,short,bajo,False,paella
123,literalmente zapatillas en el maletero y plan de ultima hora no pido mas random 🌊 jajaja,#Ruta #Drive,coches,coches,deporte,True,short,alto,False,
124,Ibiza: atardecer en el paseo maritimo y random pero necesario,#Mood,playa,playa,,False,short,bajo,False,Ibiza
125,Bad Bunny: concierto que empezo tarde pero valio la pena y literalmente obsesionado,#Mood #Pop,musica,musica,,False,short,bajo,False,Bad Bunny
126,literalmente foto borrosa pero momento perfecto; luego en modo desconectar y acabamos hablando de Nala 🏁,#PetFriendly,animales,animales,,False,medium,bajo,False,Nala
127,Betis: series de carrera con poca fe y top xd,#oferta #update #workout,deporte,deporte,,False,short,bajo,False,Betis
128,"literal literalmente vacaciones con musica, playa y maleta medio rota en ourense muy de hoy ⚽",#relax #atardecer #cafe #sinfiltros,playa,playa,viajes,True,short,alto,False,
129,"hoy tocaba paseo por calas de roma despues de perder el bus del hotel. no encaja perfecto en una sola categoria, porque mezcla viajes, playa y un poco de vida real. top que fantasía",,viajes,viajes,playa,True,long,bajo,False,Roma
130,"nadie me preparo para entreno con Spotify en los auriculares y cero energia al final, entre risas y cero cobertura que locura",#Spotify,deporte,deporte,musica,True,medium,bajo,False,Spotify
131,domingo raro y series de carrera con poca fe; luego sin filtros y con prisa y acabamos hablando de NBA...,#Entreno,deporte,deporte,,False,medium,bajo,False,NBA
132,"vibe de hoy: escapada a Bilbao con baño rapido, hotel lejos y caminata por la costa me renta demasiado 🧳",#Friends #Setup #Mar #Travel,playa,playa,viajes,True,short,medio,False,
133,me desperte pensando en esto: viaje corto y cena de Dabiz Munoz en un sitio que nadie conocia god 🧳,#Tapas,viajes,viajes,cocina,True,short,medio,False,
134,"mini update: partido sufrido hasta el ultimo minuto, god",#Entreno,deporte,deporte,,False,short,bajo,False,
135,nadie me preparo para hotel sencillo pero bien ubicado sin planear demasiado,,viajes,viajes,,False,short,bajo,False,
136,"no se como explicar esto pero modo carrera en GTA mientras suena Anuel de fondo, con gente buena god se tenia que decir 🐱",#temazo #fifa #playstation,videojuegos,videojuegos,musica,True,medium,medio,False,PlayStation | Anuel | FIFA | GTA
137,"hoy tocaba paseo por calas de vizcaya despues de perder el bus del hotel, sin planear demasiado bro esto esta increible",#mar #viajes #destino,playa,playa,viajes,True,medium,medio,False,
138,"domingo raro y cancion triste para un plan feliz. Entre playlist, mensajes sin responder y Rosalia, el plan quedo raro pero random pero necesario",#Musica,musica,musica,,False,long,bajo,False,Rosalia
139,"hoy tocaba mercado local, cafe raro y plato de Mercadona que salvo el dia literalmente obsesionado",#Aventura #Yummy,cocina,cocina,viajes,True,short,medio,False,Mercadona
140,"despues de mil vueltas, partido del Betis con musica a tope antes de salir literalmente obsesionado 🎧",,deporte,deporte,musica,True,micro,medio,False,Betis
141,"mini update: partido del nba con musica a tope antes de salir, con una playlist random de fondo literalmente obsesionado jajaja",,deporte,deporte,musica,True,medium,bajo,False,NBA
142,"modo chill interior limpio por primera vez en meses cerca de Barcelona. en modo desconectar, Audi de fondo y literalmente obsesionado",#Racing #CarLife,coches,coches,,False,medium,bajo,False,Audi
143,"chiringuito lleno pero la musica estaba increible, sin planear demasiado que locura",#live,playa,playa,musica,True,medium,medio,False,
144,"directo de noche con chat imposible, top",#gamer,videojuegos,videojuegos,,False,short,medio,False,
145,"gato durmiendo encima del teclado en Bilbao; habia correa, algo de prisa y veterinario saliendo en la conversacion. con ganas de repetir, bastante real todo",,animales,animales,,False,long,bajo,False,veterinario
146,"Mercedes aparecio en el plan: interior limpio por primera vez en meses, sin planear demasiado, neumaticos incluido que fantasía ✈️",#Drive #Vibes,coches,coches,,False,medium,medio,False,Mercedes
147,si esto no es felicidad entonces nada paseo largo antes de volver a casa; luego con ganas de repetir y acabamos hablando de veterinario 🐶,#planazo #petfriendly #gatos,animales,animales,,False,medium,medio,False,veterinario
148,"paella aparecio en el plan: restaurante pequeño encontrado de casualidad, sin filtros y con prisa, cuchillo incluido literal",#casero,cocina,cocina,,False,medium,bajo,False,paella
149,"nadie me preparo para viaje en coche por la costa, gps perdido y cafe de gasolinera, entre risas y cero cobetrura se tenia que decir 😂",#Travel#Garaje,viajes,viajes,coches,True,medium,alto,False,
150,"playstation aparecio en el plan: modo carrera mientras suena musica de fondo, porque a veces sale bien sin pensarlo, auriculares incluido ⚽",#Aesthetic #Planazo #GTA #PlayStation,videojuegos,videojuegos,,False,medium,medio,False,PlayStation | GTA
151,"Lisboa y maleta, top",#Travel,viajes,viajes,,False,micro,medio,False,Lisboa
152,Alguna ayuda española único situación público. link en bio oferta top que fantasía,#FYP,musica,musica,,False,outlier,alto,False,
153,"despues de mil vueltas, foto borrosa pero momento perfecto; luego con gente no se",#Planazo #Perros #Paseo,animales,animales,,False,medium,bajo,False,
154,"hoy tocaba paseo por calas de Gran Canaria despues de perder el bus del hotel, en modo desconectar muy de hoy 🐱 jajaja",#Verano,viajes,viajes,playa,True,medium,medio,False,
155,literal nadie me preparo para atardecer en la costa y playlist de Rosalia en bucle muy de hoy,#costa,playa,playa,musica,True,short,medio,False,Rosalia
156,"Benidorm aparecio en el plan: tarde de chiringuito, porque a veces sale bien sin pensarlo, perro incluido",,playa,playa,,False,medium,bajo,False,Benidorm
157,tortilla: airfryer slavando la noche y god,#Casero,cocina,cocina,,False,short,medio,False,tortilla
158,nadie me preparo para viaje corto y cena de MasterChef en un sitio que nadie conocia bro esto esta increible,#sabor,cocina,cocina,viajes,True,short,bajo,False,MasterChef
159,literalmente gym literalmente obsesionado,#live,deporte,deporte,musica,True,micro,bajo,False,
160,plan improvisado: taper para mañana si sobrevive con una playlist random de fondo ⚽,#cena,cocina,cocina,,False,short,medio,False,
161,decathlon: comida sencilla despues del gimnasio y god,#Futbol #Running #Planazo,deporte,deporte,,False,short,bajo,False,Decathlon
162,se tenia que decir y bueno,#Chill #StudyTok,musica,musica,,False,micro,alto,False,
163,"si esto no es felicidad entonces nada interior limpio por primera vez en meses, god 🎮 xd",,coches,coches,,False,short,medio,False,
164,"literalmente escapada improvisada con correa, snacks y cero organizacion. No encaja perfecto en una sola categoria, porque mezcla viajes, animales y un poco de vida real. ns q decir JAJA JAJA 🎧",#travel #mood,animales,viajes,animales,True,long,medio,True,
165,"tren perdido por mirar el movil cerca de Tokio. sin planear demasiado, Paris de fondo y top 🕹️",#Planazo #Escapada,viajes,viajes,,False,medium,medio,False,Paris | Tokio
166,domingo raro y prueba de conduccion con lluvia en cáceres con cafe; sin filtros y con prisa y top; tambien comida sencilla despues del gimnasio bro,#Padel #Drive #CarLife,coches,coches,deporte,True,medium,bajo,False,
167,JAJA mini update: viaje corto y cena de tacos en un sitio que nadie concoia no pido mas ☀️,#sabor,viajes,viajes,cocina,True,short,alto,False,tacos
168,vibe de hoy: caminata eterna por el y bueno,,viajes,viajes,,False,short,alto,False,
169,"random nadie me preparo para noche de mando, Discord y tema nuevo de Anuel, sin filtros y con prisa god ⚽ jajaja",#festival,musica,musica,videojuegos,True,medium,bajo,False,Anuel
170,"que fantasía gasolina carisima pero habia ganas cerca de Malaga. con ganas de repetir, Mercedes de fondo y literalmente obsesionado 🏁",#carlife,coches,coches,,False,medium,medio,False,Mercedes
171,me desperte pensando en esto: atardecer en el paseo maritimo con el movil sin bateria 🍜,#Mood,playa,playa,,False,short,bajo,False,
172,"modo chill mini update: escpada improvisada con correa, snacks y cero organizacion muy de hoy 🎧",,animales,animales,viajes,True,short,alto,False,
173,vibe de hoy: viaje corto y cena de dabiz muñoz en un sitio que nadie conocia no pido mas,#Foodie,cocina,cocina,viajes,True,short,medio,False,Dabiz Muñoz
174,partido del Champions y cena improvisada en casa me renta demasiado,,deporte,deporte,cocina,True,short,medio,False,Champions
175,"si esto no es felicidad entonces nada bano rapido, toalla mojada y temazo de Taylor Swift, porque a veces sale bien sin pensarlo random pero necesario ☀️",#Musica #Hoy,playa,playa,musica,True,medium,medio,False,Taylor Swift
176,"me desperte pensando en esto: despues del entreno tocaba lavar el coche, con una playlist random de fonddo me renta demasiado 🎸",#Mood#Drive,coches,coches,deporte,True,medium,alto,False,
177,"Maspalomas y altavoz, no pido mas; tambien vuelo temprano con cafe dudoso",#Domingo #Wanderlust #Destino #Relax,playa,playa,viajes,True,micro,bajo,False,Maspalomas
178,,,videojuegos,videojuegos,,False,short,medio,False,
179,"nadie me preparo para vuelo temprano con cafe dudoso. Entre camara, mensajes sin responder y Berlin, el plan quedo raro pero literalmente obsesionado 😂",#travel#turismo,viajes,viajes,,False,long,bajo,False,Berlin
180,"escapada express con maleta pequeña en Paris; habia mochila, algo de prisa y Amsterdam saliendo en la conversacion. en plan tranquilo, bastante real todo; tambien postre demasiado dulce",#Casero #Cena,viajes,viajes,cocina,True,long,bajo,False,Amsterdam | Paris
181,"no se como explicar esto pero comida sencilla despues del gimnasio, random pero necesario; tambien salsa rara que al final funciona 🧳",#Domingo #Gym #Foodie #Partido,deporte,deporte,cocina,True,short,bajo,False,
182,"PlayStation y playlist, god estoy living 🍣",,videojuegos,videojuegos,,False,micro,medio,False,PlayStation
183,"estoy living me desperte pensando en esto: despues del gym cayo Mercadona porque el cuerpo lo pidio, mientras cae la tarde me renta demasiado 😂",#partido #receta,deporte,deporte,cocina,True,medium,medio,False,Mercadona
184,"no puedo mas calas pequeñas sin cobertura cerca de ibiza. en modo desconectar, tenerife de fondo y god",#verano #domingo #costa,playa,playa,,False,medium,bajo,False,Tenerife | Ibiza
185,"xd paseo largo para despejar cerca de Tokio. con ganas de repetir, Real Madrid de fondo y random pero necesario 🔥",#workout #cafe,deporte,deporte,,False,medium,alto,False,Real Madrid | Madrid | Tokio
186,nadie me preparo para Spotify,#musica #concierto,musica,musica,,False,micro,bajo,False,Spotify
